CompID,company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,employee,funding round,funding status,last funding date,lastfundamt,last funding type,totfundamt,investor1,investor2,investor3,investor4,investor5,no of investor,founder2,founder3,RevGp,E-Gp,founded year,tfa,lfa,lastfundedyear,timefund,indtemp,indtemp2,index,Rank
C5925,CRED,Credit Cards,Financial Services,Bengaluru,Karnataka,CRED is a fintech startup that offers rewards for customers who use its platform to pay their credit card bills.,560038,$100M to $500M,2018,www.cred.club,1,Kunal Shah,501-1000,9,Late Stage Venture,"Jun 9, 2022","₹6,170,000,000",Series F,"$801,492,149",General Catalyst,Rainmatter Capital,Insight Partners,Alpha Wave Global,Hillhouse Investment,33,,,G5,E-G3,2022,801492149,86380000,2018,4,200373037.3,12022382.24,60111911.19,11
C4958,CRED,Credit Cards,Financial Services,Bengaluru,Karnataka,CRED is a fintech startup that offers rewards for customers who use its platform to pay their credit card bills.,560038,$100M to $500M,2018,www.cred.club,1,Kunal Shah,501-1000,9,Late Stage Venture,"Jun 9, 2022","₹ 6,17,00,00,000.00",Series F,"$ 80,14,92,149.00",General Catalyst,Rainmatter Capital,Insight Partners,Alpha Wave Global,Hillhouse Investment,33,,,G5,E-G3,2022,801492149,86380000,2018,4,200373037.3,12022382.24,60111911.19,12
C4120,Sprng Energy,Energy,GreenTech,Pune,Maharashtra,Sprng Energy is a renewable energy platform set up in India by private equity fund manager Actis.,—,$10M to $50M,"Jan 1, 2017",sprngenergy.com,1,JM Trivedi,101-250,1,M&A,"Mar 1, 2017","₹ 29,64,30,00,000.00",Private Equity,"₹ 29,64,30,00,000.00",,,,,,1,,,G2,E-G9,2017,415002000,415002000,2017,1,415002000,16600080,49800240,13
C1120,Snapdeal,E-Commerce,Marketplace,Gurgaon,Haryana,Snapdeal is India's leading value e-commerce platform,122002,$100M to $500M,"Feb 4, 2005",www.snapdeal.com,2,Kunal Bahl,1001-5000,14,—,"Jul 23, 2019",—,Venture - Series Unknown,"$ 1,77,62,60,825.00",Alibaba Group,eBay,Foxconn Technology Group,Intel Capital,BlackRock,26,,,G5,E-G2,2019,1776260825,0,2005,14,126875773.2,8881304.124,44406520.62,14
C3071,UpGrad,E-Learning,EdTech,Mumbai,Maharashtra,UpGrad is an online higher education platform providing various programs.,400018,$1B to $10B,2015,upgrad.com,5,Mayank Kumar,1001-5000,7,—,"Mar 29, 2023","₹ 3,00,00,00,000.00",Venture - Series Unknown,"$ 66,82,32,133.00",IIFL Finance,Temasek Holdings,International Finance Corporation,360 ONE Asset,Lupa Systems,16,Phalgun Kompalli,Ravijot Chugh,G7,E-G2,2023,668232133,42000000,2015,8,83529016.63,5847031.164,40929218.15,15
C3099,Unacademy,E-Learning,EdTech,Bengaluru,Karnataka,Unacademy is an online learning platform that provides educational content such as video lectures and examinations.,560038,$50M to $100M,2015,unacademy.com/,4,Gaurav Munjal,1001-5000,12,Late Stage Venture,"Aug 1, 2021","$ 44,00,00,000.00",Series H,"$ 83,85,00,000.00",Meta,Sequoia Capital,General Atlantic,Blume Ventures,Elevation Capital,43,Hemesh Singh,Roman Saini,G4,E-G2,2021,838500000,440000000,2015,6,139750000,9782500,39130000,16
C1143,Avaada Ventures,Energy,Energy Efficiency,Mumbai,Maharashtra,"Avaada Ventures offers an energy platform for manufacturing solar cells, modules, and electrolysers.",400069,$500M to $1B,2009,avaada.com/,—,,501-1000,1,Private Equity,"Apr 26, 2023","₹ 1,07,00,00,00,000.00",Private Equity,"₹ 1,07,00,00,00,000.00",Brookfield Asset Management,Global Power Synergy Company,,,,2,,,G6,E-G3,2023,1498000000,1498000000,2009,14,107000000,6420000,38520000,17
C4962,Mobile Premier League,eSports,Gaming,Bengaluru,Karnataka,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,560103,$500M to $1B,2018,www.mpl.live,3,Sai Srinivas Kiran G,251-500,6,Late Stage Venture,"Sep 15, 2021","$ 15,00,00,000.00",Series E,"$ 37,55,00,000.00",Gaingels,Sequoia Capital,MDI Ventures,Pegasus Tech Ventures,Telstra Ventures,21,Shubh Malhotra,,G6,E-G7,2021,375500000,150000000,2018,3,125166666.7,6258333.335,37550000.01,18
C5928,Mobile Premier League,eSports,Gaming,Bengaluru,Karnataka,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,560103,$500M to $1B,2018,www.mpl.live,3,Sai Srinivas Kiran G,251-500,6,Late Stage Venture,"Sep 15, 2021","$150,000,000",Series E,"$375,500,000",Gaingels,Sequoia Capital,MDI Ventures,Pegasus Tech Ventures,Telstra Ventures,21,Shubh Malhotra,Shubham Malhotra,G6,E-G7,2021,375500000,150000000,2018,3,125166666.7,6258333.335,37550000.01,19
C3121,Spinny,Automotive,E-Commerce,Gurgaon,Haryana,Spinny is a used car buying platform enabling trustworthy and hassle-free transactions.,122002,$500M to $1B,2015,www.spinny.com,4,Ganesh Pawar,1001-5000,9,—,"Dec 14, 2021",—,Venture - Series Unknown,"$ 51,34,70,045.00",General Catalyst,Accel,Blume Ventures,Elevation Capital,Tiger Global Management,21,Mohit Gupta,Niraj Singh,G6,E-G2,2021,513470045,0,2015,6,85578340.83,5990483.858,35942903.15,20
C3159,Xpressbees,Delivery Service,E-Commerce,Pune,Maharashtra,Xpressbees is a logistics company that offers customized express delivery services.,411014,$100M to $500M,Sep-15,www.xpressbees.com,2,Amitava Saha,10001,11,Late Stage Venture,"Nov 6, 2023","$ 8,00,00,000.00",Series G,"$ 62,23,90,664.00",Alibaba Group,Investcorp,Vertex Ventures,Avendus Future Leaders,Chrys Capital,17,Supam Maheshwari,,G5,E-G1,2023,622390664,80000000,2015,8,77798833,7001894.97,35009474.85,21
C2468,CaptureSolar Energy,Energy,Renewable Energy,Pune,Maharashtra,Capture Solar is an organization working in the field of ‘Renewable Resource’ based applications.,411058,$50M to $100M,2013,capturesolar.com/,—,,501-1000,1,—,"Jun 1, 2014","$ 12,50,00,000.00",Venture - Series Unknown,"$ 12,50,00,000.00",Concept Solutions & Innovation,,,,,1,,,G4,E-G3,2014,125000000,125000000,2013,1,125000000,7500000,30000000,22
C2031,Vistara,Aerospace,,Haryana,Haryana,Vistara is a joint venture of Tata Sons Limited and Singapore Airlines Limited (SIA),122001,$1B to $10B,"Nov 5, 2013",www.airvistara.com,—,,1001-5000,2,Private Equity,"Sep 12, 2019","₹ 5,00,00,00,000.00",Private Equity,"₹ 25,00,00,00,000.00",Tata Sons,,,,,1,,,G7,E-G2,2019,350000000,70000000,2013,6,58333333.33,4083333.333,28583333.33,23
C1116,Lenskart,Delivery,E-Commerce,Gurgaon,Haryana,"Lenskart is an online optical platform that sells prescription eyewear, branded contact lenses, sunglasses, and accessories.",122009,$10M to $50M,2008,www.lenskart.com,4,Amit Chaudhary,10001,17,Late Stage Venture,"Jun 15, 2023","$ 10,00,00,000.00",Series I,"$ 1,55,46,86,291.00",TPG,Temasek Holdings,International Finance Corporation,Alpha Wave Global,PremjiInvest,26,,,G2,E-G1,2023,1554686291,100000000,2008,15,103645752.7,9328117.743,27984353.23,24
C3994,ElasticRun,E-Commerce,E-Commerce Platforms,Pune,Maharashtra,ElasticRun provides a logistics and distribution platform designed to help businesses reach traditionally unserviced consumers.,411027,$100M to $500M,2016,www.elastic.run/,3,Sandeep Deshmukh,1001-5000,6,Late Stage Venture,"Feb 7, 2022","₹ 22,60,00,00,000.00",Series E,"$ 43,48,08,664.00",Prosus Ventures,Kalaari Capital,InnoVen Capital,Chimera Investment,,8,Saurabh Nigam,,G5,E-G2,2022,434808664,316400000,2016,6,72468110.67,5072767.747,25363838.73,25
C5077,Zetwerk,B2B,Consumer Goods,Bengaluru,Karnataka,Zetwerk operates a business-to-business marketplace for manufacturing items.,560102,$50M to $100M,2018,www.zetwerk.com,4,Amrit Acharya,101-250,13,Late Stage Venture,"Oct 18, 2023","₹ 9,67,00,00,000.00",Series F,"$ 77,83,07,624.00",IIFL Finance,LIQUiDITY Group,Accel,Lightspeed Venture Partners,Edelweiss Financial Services,24,Rahul Sharma,,G4,E-G9,2023,778307624,135380000,2018,5,155661524.8,6226460.992,24905843.97,26
C2991,Licious,Delivery Service,E-Commerce,Bengaluru,Karnataka,Licious is an online meat and seafood ordering startup that follows an end-to-end business.,560038,$100M to $500M,2015,www.licious.in,3,Abhay Hanjura,1001-5000,10,Late Stage Venture,"Mar 15, 2022","₹ 11,46,00,00,000.00",Series F,"$ 48,99,27,443.00",IIFL Finance,Temasek Holdings,Vertex Ventures,3one4 Capital,Gruhas,33,Varun Sadana,Vivek Gupta,G5,E-G2,2022,489927443,160440000,2015,7,69989634.71,4899274.43,24496372.15,27
C1457,Coffee Day Beverages,Coffee,,Bengaluru,Karnataka,Coffee Day Beverages deals in coffee and tea vending machine services.,560 001,$1B to $10B,2008,coffeedaybeverages.com/,1,VG Siddhartha,10001,1,IPO,"Mar 31, 2010","$ 7,50,00,000.00",Private Equity,"$ 7,50,00,000.00",New Silk Route,,,,,1,,,G7,E-G1,2010,75000000,75000000,2008,2,37500000,3375000,23625000,28
C4052,Groww,Financial Services,FinTech,Bengaluru,Karnataka,Groww is an investment platform that offers a new way of investing money with stockbroking and direct mutual funds.,560035,$100M to $500M,2016,groww.in/,4,Harsh Jain,501-1000,6,Late Stage Venture,"Oct 24, 2021","$ 25,10,00,000.00",Series E,"$ 39,32,62,674.00",Tiger Global Management,ICONIQ Growth,Insignia Ventures Partners,Peak XV Partners,,19,Ishan Bansal Dean,,G5,E-G3,2021,393262674,251000000,2016,5,78652534.8,4719152.088,23595760.44,29
C3083,Veritas Finance,Finance,Financial Services,Guindy,Tamil Nadu,"Veritas Finance focuses on providing loans to meet the financial needs of micro, small, and medium-sized businesses.",600032,$1B to $10B,2015,www.veritasfin.in/,1,Arulmany Duraisamy,5001-10000,11,Private Equity,"Jul 5, 2023","₹ 10,50,00,00,000.00",Private Equity,"$ 32,44,43,970.00",British International Investment,International Finance Corporation,Caspian Impact Investments,Avendus Future Leaders,BlueOrchard Finance S A,15,,,G7,E-G4,2023,324443970,147000000,2015,8,40555496.25,3244439.7,22711077.9,30
C1002,Dream11,Fantasy Sports,Mobile,Bandra,Maharashtra,Dream11 operates as a sports technology platform.,400 051,$10M to $50M,2008,www.dream11.com,—,,501-1000,8,—,"Nov 24, 2021","₹ 62,25,00,00,000.00",Venture - Series Unknown,"$ 1,61,89,88,532.00",Tencent,TPG,TCV,Tiger Global Management,Chrys Capital,15,,,G2,E-G3,2021,1618988532,871500000,2008,13,124537579.4,7472254.764,22416764.29,31
C1653,Quippo Infrastructure,Construction,Energy,New Delhi,Delhi,"Quippo Infrastructure is an equipment rental company servicing the high growth verticals of construction, telecom, energy, and oil and gas.",110 017,$50M to $100M,2007,www.quippoworld.com,—,,251-500,1,Private Equity,"Aug 12, 2008","₹ 7,81,00,00,000.00",Private Equity,"₹ 7,81,00,00,000.00",Government of the Sultanate of Oman,,,,,1,,,G4,E-G7,2008,109340000,109340000,2007,1,109340000,5467000,21868000,32
C5948,Ekart Logistics,E-Commerce,Logistics,Bengaluru,Karnataka,EKART is India's largest logistics and supply chain company,—,$50M to $100M,"Jan 11, 2018",www.ekartlogistics.com/,2,Binny Bansal,501-1000,1,—,"Oct 2, 2017","₹6,410,000,000",Venture - Series Unknown,"₹6,410,000,000",Klick2Shop Logistics Services International,,,,,1,Sachin Bansal,,G4,E-G3,2017,89740000,89740000,2018,1,89740000,5384400,21537600,33
C5043,Ekart Logistics,E-Commerce,Logistics,Bengaluru,Karnataka,EKART is India's largest logistics and supply chain company,—,$50M to $100M,"Jan 11, 2018",www.ekartlogistics.com/,2,Binny Bansal,501-1000,1,—,"Oct 2, 2017","₹ 6,41,00,00,000.00",Venture - Series Unknown,"₹ 6,41,00,00,000.00",Klick2Shop Logistics Services International,,,,,1,Sachin Bansal,,G4,E-G3,2017,89740000,89740000,2018,1,89740000,5384400,21537600,34
C2993,Ninjacart,AgTech,B2B,Bengaluru,Karnataka,"Ninjacart is a business-to-business fresh produce supply chain that connects farmers, manufactures, and brands to retailers directly.",560095,$500M to $1B,Jul-15,ninjacart.com/,7,Ashutosh Vikram,1001-5000,15,Late Stage Venture,"May 18, 2022","₹ 69,80,00,000.00",Series D,"$ 35,76,24,581.00",Walmart,Flipkart,Accel,Tiger Global Management,Shinhan Venture Investment,24,Kartheeswaran K K,Sachin Jose,G6,E-G2,2022,357624581,9772000,2015,7,51089225.86,3576245.81,21457474.86,35
C2019,Aye Finance,Finance,Financial Services,Gurgaon,Haryana,Aye Finance is a finance company that provides business loans to micro and small businesses.,122009,$50M to $100M,2014,www.ayefin.com,2,Sanjay Sharma,1001-5000,29,Late Stage Venture,"Dec 13, 2023","₹ 3,10,00,00,000.00",Series F,"$ 66,54,65,536.00",State Bank of India,British International Investment,responsAbility Investments,Elevation Capital,Northern Arc,26,Vikram Jetley,,G4,E-G2,2023,665465536,43400000,2014,9,73940615.11,5175843.058,20703372.23,36
C4189,LOGOS India,E-Commerce,Logistics,Mumbai,Maharashtra,LOGOS India operates as as logistics investment and development firm.,400051,Less than $1M,2017,logosindia.com/,1,Mehul Shah,251-500,1,—,"Oct 24, 2017","$ 40,00,00,000.00",Venture - Series Unknown,"$ 40,00,00,000.00",Ivanhoe Cambridge,,,,,2,,,G8,E-G7,2017,400000000,400000000,2017,1,400000000,20000000,20000000,37
C4157,InsuranceDekho,Auto Insurance,Financial Services,Haryana,Haryana,"InsuranceDekho is an insurtech company that provides travel, health, life, and car insurance services.",122022,$1B to $10B,2016,www.insurancedekho.com,2,Ankit Agrawal,1001-5000,5,Early Stage Venture,"Oct 10, 2023","$ 6,00,00,000.00",Series B,"$ 27,00,00,000.00",LeapFrog Investments,Eurazeo,Goldman Sachs,GirnarSoft,,13,Ish Babbar,,G7,E-G2,2023,270000000,60000000,2016,7,38571428.57,2700000,18900000,38
C2015,Livspace,E-Commerce,Furniture,Bengaluru,Karnataka,"Livspace is an home interiors and improvement that connects people to designers, services, and products.",560103,$100M to $500M,2014,www.livspace.com,3,Anuj Srivastava,1001-5000,10,Late Stage Venture,"Feb 7, 2022","₹ 13,43,00,00,000.00",Series F,"$ 43,15,77,146.00",Goldman Sachs,"Block, Inc.",IKEA,Bessemer Venture Partners,Jungle Ventures,19,Ramakant Sharma,,G5,E-G2,2022,431577146,188020000,2014,8,53947143.25,3776300.028,18881500.14,39
C2045,Ecom Express,Delivery,E-Commerce,New Delhi,Delhi,"Ecom Express is a logistics solutions company that allows for customization, scalability, and delivery service processing.",110037,$50M to $100M,Jan-12,www.ecomexpress.in/,4,K. Satyanarayana,10001,8,—,"Jun 1, 2023","$ 14,00,000.00",Venture - Series Unknown,"$ 52,57,92,829.00",Partners Group,British International Investment,Warburg Pincus,CDC Group,Peepul Capital LLC,5,Manju Dhawan,,G4,E-G1,2023,525792829,1400000,2012,11,47799348.09,4301941.328,17207765.31,40
C5028,Shiprocket,Artificial Intelligence (AI),E-Commerce,New Delhi,Delhi,Shiprocket is an e-commerce shipping platform that enables cost-effective shipping for direct-to-consumer retailers.,110030,$50M to $100M,"Jan 26, 2017",www.shiprocket.in,4,Akshay Ghulati,501-1000,12,Late Stage Venture,"Oct 9, 2023","₹ 90,70,00,000.00",Series E,"$ 39,90,92,833.00",Zomato,Gaingels,9Unicorns Accelerator Fund,500 Global,Razorpay,35,Gautam Kapoor,,G4,E-G3,2023,399092833,12698000,2017,6,66515472.17,3990928.33,15963713.32,41
C2080,Ather Energy,Automotive,Clean Energy,Bengaluru,Karnataka,Ather Energy operates as a manufacturer of electric scooters.,560029,$100M to $500M,2013,www.atherenergy.com,2,Swapnil Jain,1001-5000,10,—,"Sep 4, 2023","₹ 9,00,00,00,000.00",Venture - Series Unknown,"$ 45,04,52,361.00",GIC,Tiger Global Management,HeroMotoCorp,InnoVen Capital,Binny Bansal,10,Tarun Mehta,,G5,E-G2,2023,450452361,126000000,2013,10,45045236.1,3153166.527,15765832.63,42
C3969,cult.fit,Apps,Fitness,Bengaluru,Karnataka,"cult.fit is a health and fitness company offering digital and offline experiences across fitness, nutrition, and mental well-being.",560102,$10M to $50M,"Jul 1, 2016",www.cult.fit,2,Ankit Nagori,101-250,11,Late Stage Venture,"Nov 9, 2021","$ 14,50,00,000.00",Series F,"$ 62,45,75,960.00",HDFC Bank,Zomato,Accel,Temasek Holdings,,38,Mukesh Bansal,,G2,E-G9,2021,624575960,145000000,2016,5,124915192,4996607.68,14989823.04,43
C167,Ramky Enviro Engineers,Construction,Environmental Consulting,Hyderabad,Andhra Pradesh,A Hyderabad-based waste management company.,—,$1B to $10B,1994,ramkyenviroengineers.com/,—,,5001-10000,1,M&A,"Jun 4, 2018","$600,000,000",Private Equity,"$600,000,000",Kohlberg Kravis Roberts,,,,,1,,,G7,E-G4,1994,600000000,600000000,2018,24,25000000,2000000,14000000,44
C3002,Freshtohome,E-Commerce,E-Commerce Platforms,Bengaluru,Karnataka,"Freshtohome is an e-commerce platform for fresh and chemical-free chicken, meat, and seafood.",560 075,$1B to $10B,"Aug 1, 2015",www.freshtohome.com,1,Shan Kadavil,501-1000,10,Late Stage Venture,"Feb 6, 2023","₹ 8,61,30,00,000.00",Series D,"$ 25,60,77,737.00",Investcorp,U.S. International Development Finance Corp,Mount Judi Ventures,Amazon Smbhav Venture Fund,Rajan Anandan,27,,,G7,E-G3,2023,256077737,120582000,2015,8,32009717.13,1920583.028,13444081.19,45
C1205,Incor Infrastructure,Commercial Real Estate,Real Estate,Hyderabad,Andhra Pradesh,Incor Infrastructure is a residential and commercial real estate company.,500033,$1M to $10M,2007,www.incor.in/,1,G. Anand Reddy,501-1000,2,Private Equity,"Apr 6, 2022","$ 1,55,00,00,000.00",Private Equity,"$ 1,65,00,00,000.00",Investec,Brookfield Asset Management,Emerging India Credit Opportunities Fund I,,,3,,,G3,E-G3,2022,1650000000,1550000000,2007,15,110000000,6600000,13200000,46
C2002,Incor Infrastructure,Commercial Real Estate,Real Estate,Hyderabad,Andhra Pradesh,Incor Infrastructure is a residential and commercial real estate company.,500033,$1M to $10M,2007,www.incor.in/,1,G. Anand Reddy,501-1000,2,Private Equity,"Apr 6, 2022","$ 1,55,00,00,000.00",Private Equity,"$ 1,65,00,00,000.00",Investec,Brookfield Asset Management,Emerging India Credit Opportunities Fund I,,,3,,,G3,E-G3,2022,1650000000,1550000000,2007,15,110000000,6600000,13200000,47
C3094,Rapido,Information Services,Logistics,Bengaluru,Karnataka,Rapido is an online app and logistics provider that offers bike taxis to its users.,560102,$50M to $100M,2015,www.rapido.bike,3,Aravind Sanka,1001-5000,10,Late Stage Venture,"Apr 15, 2022","$ 18,00,00,000.00",Series D,"$ 31,03,50,891.00",Swiggy,Shunwei Capital,Nexus Venture Partners,Westbridge Capital,TVS Motor Company,36,Pavan Guntupalli,Rishikesh SR,G4,E-G2,2022,310350891,180000000,2015,7,44335841.57,3103508.91,12414035.64,48
C3238,MyGlamm,Beauty,Cosmetics,Mumbai,Maharashtra,"MyGlamm is a direct-to-consumer beauty brand that offers a marketplace for stylists, beauticians, nail, and spa aestheticians.",400011,$100M to $500M,2015,www.myglamm.com/,2,Darpan Sanghvi,251-500,12,Late Stage Venture,"Nov 9, 2021","$ 15,00,00,000.00",Series D,"$ 28,83,62,465.00",Amazon,Accel,Warburg Pincus,Stride Ventures,Bessemer Venture Partners,19,Priyanka Gill,,G5,E-G7,2021,288362465,150000000,2015,6,48060410.83,2403020.542,12015102.71,49
C4133,Ayana Renewable Power,Energy,Renewable Energy,Bengaluru,Karnataka,Ayana Renewable Power is an Indian renewable energy platfor.,—,Less than $1M,2017,www.ayanapower.com/,—,,251-500,2,Private Equity,"Dec 18, 2020","$ 39,00,00,000.00",Private Equity,"$ 72,00,00,000.00",NIIF,EverSource Capital,,,,3,,,G8,E-G7,2020,720000000,390000000,2017,3,240000000,12000000,12000000,50
C4944,Acko,Auto Insurance,Health Insurance,Mumbai,Maharashtra,Acko is a general insurance company that offers insurance products for people working in the transportation and healthcare sectors.,400063,$10M to $50M,2016,www.acko.com,2,Ruchi Deepak,501-1000,8,Private Equity,"Jun 7, 2023",—,Private Equity,"$ 45,80,00,000.00",Accel,General Atlantic,Lightspeed Venture Partners,Canada Pension Plan Investment Board,,21,Varun Dua,,G2,E-G3,2023,458000000,0,2016,7,65428571.43,3925714.286,11777142.86,51
C3975,Acko,Auto Insurance,Health Insurance,Mumbai,Maharashtra,Acko is a general insurance company that offers insurance products for people working in the transportation and healthcare sectors.,400063,$10M to $50M,2016,www.acko.com,2,Ruchi Deepak,501-1000,8,Private Equity,"Jun 7, 2023",—,Private Equity,"$ 45,80,00,000.00",Accel,General Atlantic,Lightspeed Venture Partners,Canada Pension Plan Investment Board,,21,Varun Dua,,G2,E-G3,2023,458000000,0,2016,7,65428571.43,3925714.286,11777142.86,52
C1563,Moser Baer Solar,Electronics,Manufacturing,New Delhi,Delhi,Moser Baer Solar is a technology company developing optical storage media.,110020,$10M to $50M,2007,www.moserbaersolar.com,—,,101-250,1,Early Stage Venture,"Sep 4, 2008","$ 9,25,00,000.00",Series B,"$ 9,25,00,000.00",Morgan Stanley,Credit Suisse,CDC Group,Nomura Holdings,IDFC Private Equity,5,,,G2,E-G9,2008,92500000,92500000,2007,1,92500000,3700000,11100000,53
C3,Pine Labs,Financial Services,FinTech,Noida,Uttar Pradesh,Pine Labs is a merchant commerce platform that provides financing and last-mile retail transaction technology to merchants.,201301,$10M to $50M,1998,www.pinelabs.com,3,Lokvir Kapoor,1001-5000,13,Private Equity,"Mar 29, 2022","$50,000,000",Private Equity,"$1,238,363,529",Fidelity,Invesco,State Bank of India,Actis,BlackRock,26,,,G2,E-G2,1998,1238363529,50000000,2022,24,51598480.38,3611893.627,10835680.88,54
C95,Cafe Coffee Day,Coffee,Food and Beverage,Bengaluru,Karnataka,"Cafe Coffee Day is a coffee shop, providing a full range of coffee products through a robust and transparent system of farming and more.",560001,$1B to $10B,1996,www.cafecoffeeday.com,1,VG Siddhartha,5001-10000,6,—,"Oct 14, 2015","$51,000,000",Venture - Series Unknown,"$366,000,000",Kohlberg Kravis Roberts,Peak XV Partners,Brand Capital,MAPE Advisory Group,Standard Chartered Private Equity,6,,,G7,E-G4,1996,366000000,51000000,2015,19,19263157.89,1541052.631,10787368.42,55
